station,moment,variable,valeur
03006,2016-01-06 00:08:00.000000,CO,0.3607
03006,2016-01-06 00:08:00.000000,NO2,19.9547
03006,2016-01-06 00:08:00.000000,O3,9.0335
03006,2016-01-06 00:08:00.000000,PM25,20
03006,2016-01-06 00:09:00.000000,CO,0.3191
03006,2016-01-06 00:09:00.000000,NO2,17.6033
03006,2016-01-06 00:09:00.000000,O3,11.829
03006,2016-01-06 00:09:00.000000,PM25,17
03006,2016-01-06 00:10:00.000000,CO,0.2923
03006,2016-01-06 00:10:00.000000,NO2,13.5235
03006,2016-01-06 00:10:00.000000,O3,16.5167
03006,2016-01-06 00:10:00.000000,PM25,20
03006,2016-01-06 00:11:00.000000,CO,0.2502
03006,2016-01-06 00:11:00.000000,NO2,11.3173
03006,2016-01-06 00:11:00.000000,O3,19.7182
03006,2016-01-06 00:11:00.000000,PM25,15
03006,2016-01-06 00:12:00.000000,CO,0.2912
